carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
12038,merc, S Class,2019,Semi-Auto,83,Diesel,145,52.3,3,49998
12039,hyundi, I40,2015,Manual,53730,Diesel,30,65.7,1.7,8854
12040,audi, RS6,2016,Automatic,41854,Petrol,325,29.4,4,49500
12041,merc, S Class,2018,Semi-Auto,39203,Diesel,145,52.3,3,34999
12042,vw, Beetle,2016,Manual,35345,Diesel,30,61.4,2,10990
12043,ford, Edge,2019,Automatic,10,Diesel,145,37.2,2,33000
12044,bmw, 7 Series,2016,Semi-Auto,23600,Petrol,200,41.5,3,23995
12045,audi, RS5,2018,Semi-Auto,28249,Petrol,145,32.5,2.9,42500
12046,vw, Amarok,2020,Automatic,10000,Diesel,265,27.7,3,44980
12047,audi, RS3,2015,Automatic,15016,Petrol,300,34.9,2.5,28985
12048,ford, Fusion,2008,Automatic,66000,Petrol,260,37.2,1.6,2750
12049,bmw, 7 Series,2008,Automatic,70500,Diesel,325,35.3,3,6480
12050,vauxhall, Zafira Tourer,2016,Automatic,14000,Petrol,200,40.9,1.4,12990
12051,vw, Arteon,2019,Automatic,7865,Diesel,145,50.4,2,28995
12052,ford, Galaxy,2019,Semi-Auto,3763,Diesel,145,54.3,2,27500
12053,merc, CLA Class,2016,Automatic,28916,Diesel,20,67.3,2.1,20248
12054,toyota, Prius,2019,Automatic,4605,Hybrid,140,61.4,1.8,23490
12055,toyota, GT86,2019,Manual,5123,Petrol,145,33.2,2,25780
12056,merc, S Class,2015,Semi-Auto,34434,Diesel,200,48.7,3,26498
12057,vw, Scirocco,2013,Manual,37940,Diesel,30,62.8,2,11500
12058,ford, Edge,2018,Semi-Auto,9412,Diesel,150,47.9,2,24000
12059,vauxhall, Combo Life,2019,Manual,2083,Diesel,145,53.3,1.5,16991
12060,bmw, 6 Series,2017,Semi-Auto,3546,Diesel,145,48.7,3,32023
12061,toyota, Verso,2011,Manual,74488,Petrol,200,41.5,1.6,5899
12062,vw, Scirocco,2017,Semi-Auto,37975,Diesel,125,58.9,2,15690
12063,ford, Edge,2016,Manual,52000,Diesel,200,47.9,2,17995
12064,merc, S Class,2019,Semi-Auto,2500,Diesel,145,52.3,3,55649
12065,ford, Tourneo Connect,2016,Automatic,36145,Diesel,125,56.6,1.5,13250
12066,merc, CLS Class,2016,Automatic,17730,Diesel,165,51.4,3,21591
12067,toyota, Verso,2013,Manual,55965,Petrol,205,42.8,1.6,8490
12068,ford, Edge,2019,Semi-Auto,7999,Diesel,145,37.2,2,29999
12069,hyundi, Santa Fe,2019,Semi-Auto,3920,Diesel,145,39.2,2.2,32995
12070,ford, Tourneo Custom,2019,Manual,10450,Diesel,145,31.7,2,29500
12071,bmw, M5,2019,Semi-Auto,2269,Petrol,145,24.1,4.4,89900
12072,bmw, 6 Series,2019,Semi-Auto,1125,Petrol,145,34.5,3,39999
12073,ford, Edge,2019,Automatic,21457,Diesel,145,37.2,2,30000
12074,merc, GL Class,2017,Automatic,8442,Diesel,145,56.5,2.1,26499
12075,merc, SLK,2015,Automatic,13000,Diesel,150,56.5,2.1,17900
12076,ford, Edge,2019,Automatic,10,Diesel,145,37.2,2,30990
12077,toyota, Land Cruiser,2017,Semi-Auto,34580,Diesel,305,38.2,2.8,36450
12078,merc, CLS Class,2017,Semi-Auto,45870,Diesel,125,57.7,2.1,20480
12079,skoda, Yeti,2014,Semi-Auto,28095,Diesel,205,44.8,2,12750
12080,audi, A7,2017,Semi-Auto,21134,Diesel,145,52.3,3,25450
12081,ford, Grand C-MAX,2017,Manual,16509,Petrol,30,54.3,1,12000
12082,bmw, 6 Series,2016,Automatic,37868,Diesel,160,51.4,3,18737
12083,toyota, Prius,2017,Automatic,8943,Hybrid,0,94.1,1.8,20995
12084,skoda, Scala,2019,Manual,3501,Petrol,145,49.6,1,15490
12085,merc, S Class,2017,Semi-Auto,32979,Hybrid,135,100.9,3,45599
12086,bmw, M4,2019,Semi-Auto,101,Petrol,145,34,3,41980
12087,bmw, i3,2016,Automatic,43695,Hybrid,0,470.8,0,16482
12088,hyundi, IX20,2017,Manual,32663,Diesel,30,64.2,1.6,8769
12089,bmw, M4,2017,Semi-Auto,20750,Petrol,300,34,3,34950
12090,hyundi, I800,2018,Manual,33387,Diesel,150,31.7,2.5,15800
12091,toyota, Hilux,2016,Manual,28521,Diesel,260,40.4,2.4,19990
12092,vw, CC,2015,Manual,61119,Diesel,30,60.1,2,9301
12093,vw, Scirocco,2015,Manual,30367,Petrol,145,37.2,2,12217
12094,ford, Grand Tourneo Connect,2017,Manual,27252,Diesel,30,64.2,1.5,14200
12095,merc, GL Class,2018,Manual,15202,Petrol,145,48.7,1.6,19399
12096,merc, X-CLASS,2018,Manual,14243,Diesel,260,37.2,2.3,18991
12097,audi, A7,2017,Semi-Auto,37000,Diesel,145,62.8,3,23450
12098,ford, KA,2013,Manual,51000,Petrol,30,57.7,1.2,4490
12099,bmw, X7,2019,Automatic,7791,Diesel,145,33.6,3,59988
12100,bmw, X4,2016,Semi-Auto,13005,Diesel,145,54.3,2,26995
12101,toyota, GT86,2018,Manual,15525,Petrol,150,36.2,2,19995
12102,ford, Puma,2020,Manual,1543,Petrol,145,50.4,1,21495
12103,merc, S Class,2018,Semi-Auto,3796,Petrol,145,31.7,4,104400
12104,ford, Grand C-MAX,2017,Manual,6368,Diesel,30,64.2,1.5,11498
12105,merc, X-CLASS,2019,Automatic,8974,Diesel,265,35.8,2.3,22995
12106,hyundi, Santa Fe,2019,Semi-Auto,2000,Diesel,145,39.8,2.2,32000
12107,bmw, i3,2016,Automatic,8421,Hybrid,0,470.8,0,19490
12108,bmw, X6,2019,Semi-Auto,2500,Petrol,145,26.4,3,59990
12109,bmw, 8 Series,2019,Semi-Auto,5923,Diesel,150,39.8,3,59000
12110,vw, Caddy,2015,Manual,45500,Diesel,160,49.6,2,13590
12111,vw, CC,2015,Manual,83009,Diesel,30,60.1,2,8337
12112,toyota, Avensis,2014,Manual,44537,Diesel,30,61.4,2,7999
12113,ford, Edge,2018,Semi-Auto,19364,Diesel,145,47.9,2,25498
12114,vw, Beetle,2016,Semi-Auto,44533,Petrol,200,42.2,2,14490
12115,merc, M Class,2013,Automatic,70710,Diesel,300,39.2,3,16490
12116,ford, Edge,2019,Automatic,12607,Diesel,145,37.2,2,32000
12117,ford, Grand C-MAX,2017,Semi-Auto,10295,Diesel,30,58.9,1.5,10499
12118,skoda, Scala,2020,Semi-Auto,1700,Petrol,145,47.1,1,16995
12119,bmw, X7,2019,Semi-Auto,5600,Diesel,150,33.6,3,67400
12120,ford, Galaxy,2017,Manual,22995,Diesel,125,56.5,2,19995
12121,vw, Tiguan Allspace,2018,Semi-Auto,8019,Diesel,145,47.9,2,25499
12122,toyota, Avensis,2016,Manual,41257,Diesel,20,67.3,1.6,8420
12123,skoda, Kamiq,2019,Manual,2500,Petrol,145,47.9,1,19950
12124,merc, GL Class,2017,Automatic,30827,Diesel,200,47.9,2.1,27999
12125,vw, Shuttle,2019,Semi-Auto,14028,Diesel,145,32.8,2,28995
12126,audi, RS6,2020,Automatic,3000,Petrol,145,22.1,4,104948
12127,vauxhall, Combo Life,2019,Manual,4912,Diesel,145,53.3,1.5,17994
12128,toyota, Prius,2017,Automatic,37071,Hybrid,135,85.6,1.8,17498
12129,ford, Grand C-MAX,2016,Manual,36706,Diesel,30,61.4,2,12295
12130,ford, KA,2017,Manual,16001,Petrol,145,57.7,1.2,7699
12131,ford, KA,2010,Manual,61575,Petrol,30,55.4,1.2,3690
12132,bmw, 7 Series,2016,Automatic,34000,Diesel,125,57.6,3,23990
12133,ford, Edge,2018,Semi-Auto,3420,Diesel,145,37.2,2,29000
12134,merc, CLS Class,2019,Semi-Auto,3194,Diesel,145,45.6,2,39999
12135,toyota, Prius,2019,Automatic,6500,Hybrid,135,64.2,1.8,24695
12136,toyota, Land Cruiser,2020,Semi-Auto,3390,Diesel,145,30.1,2.8,50995
12137,bmw, Z3,1999,Manual,58000,Petrol,270,35.3,1.9,3950
12138,skoda, Kamiq,2019,Automatic,3985,Petrol,145,44.1,1.5,21995
12139,vauxhall, GTC,2014,Manual,52994,Diesel,125,60.1,2,6349
12140,bmw, 6 Series,2014,Automatic,59295,Diesel,160,49.6,3,16500
12141,audi, A8,2018,Automatic,10296,Diesel,145,50.4,3,37000
12142,vw, Shuttle,2018,Manual,9289,Diesel,145,46.3,2,21999
12143,hyundi, I40,2016,Manual,38259,Diesel,30,65.7,1.7,9698
12144,ford, Mustang,2017,Manual,20700,Petrol,150,20.9,5,27500
12145,skoda, Scala,2019,Manual,4352,Petrol,145,49.6,1,15795
12146,ford, KA,2009,Manual,68441,Petrol,30,55.4,1.2,3295
12147,audi, RS3,2016,Automatic,36123,Petrol,305,34.9,2.5,33000
12148,hyundi, IX20,2017,Manual,37682,Diesel,30,64.2,1.6,8650
12149,hyundi, IX20,2017,Automatic,4076,Petrol,145,43.5,1.6,11199
12150,vw, Caravelle,2019,Automatic,11163,Diesel,145,33.6,2,44500
12151,vw, CC,2015,Manual,36602,Diesel,30,62.8,2,11292
12152,bmw, Z4,2016,Semi-Auto,25300,Petrol,205,41.5,2,18650
12153,vw, Scirocco,2017,Manual,20491,Diesel,20,55.4,2,14881
12154,vw, Arteon,2019,Semi-Auto,3111,Petrol,145,47.1,2,27990
12155,bmw, M2,2019,Automatic,2689,Petrol,145,29.1,3,43480
12156,hyundi, Santa Fe,2019,Semi-Auto,6982,Diesel,145,39.2,2.2,33949
12157,vw, Scirocco,2014,Manual,46806,Diesel,30,62.8,2,10000
12158,ford, Puma,2019,Manual,2233,Petrol,145,51.4,1,18990
12159,hyundi, IX20,2015,Manual,27399,Petrol,125,50.4,1.4,7699
12160,hyundi, I800,2017,Automatic,41469,Diesel,145,33.6,2.5,13500
12161,vw, Arteon,2018,Automatic,20159,Petrol,145,47.1,2,20990
12162,vw, Arteon,2019,Semi-Auto,6627,Diesel,145,50.4,2,25890
12163,merc, V Class,2017,Semi-Auto,58590,Diesel,235,44.8,2.2,27998
12164,bmw, 7 Series,2019,Automatic,339,Petrol,145,34.5,3,47980
12165,vauxhall, Combo Life,2019,Manual,2048,Diesel,145,53.3,1.5,19995
12166,toyota, Hilux,2020,Automatic,1259,Diesel,265,2.8,2.4,39257
12167,vw, Arteon,2018,Semi-Auto,23000,Diesel,145,55.4,2,22490
12168,ford, Mustang,2017,Automatic,7546,Petrol,145,23.5,5,48999
12169,toyota, Avensis,2012,Automatic,58000,Petrol,200,42.2,1.8,8995
12170,hyundi, IX35,2015,Manual,28040,Diesel,145,53.3,1.7,9099
12171,merc, V Class,2019,Automatic,2550,Diesel,145,36.7,2,47950
12172,bmw, 6 Series,2017,Automatic,14400,Diesel,160,51.4,3,22449
12173,audi, A7,2017,Semi-Auto,56460,Diesel,160,52.3,3,21500
12174,vw, Arteon,2018,Automatic,9288,Diesel,145,44.1,2,23700
12175,audi, A8,2020,Semi-Auto,1100,Diesel,145,40.4,3,52995
12176,vw, Beetle,2016,Manual,19039,Petrol,145,48.7,1.4,11990
12177,skoda, Scala,2019,Manual,7000,Petrol,145,49.6,1,14990
12178,toyota, Avensis,2015,Manual,51500,Diesel,30,61.4,2,8495
12179,ford, Galaxy,2016,Manual,16407,Diesel,125,56.5,2,17000
12180,skoda, Kamiq,2020,Automatic,228,Petrol,145,44.1,1.5,18990
12181,hyundi, I40,2019,Manual,10,Diesel,145,52.3,1.6,16500
12182,audi, A7,2011,Semi-Auto,72000,Petrol,300,34.4,3,12950
12183,skoda, Yeti,2013,Semi-Auto,38000,Petrol,165,44.1,1.2,8495
12184,hyundi, IX35,2013,Manual,25892,Diesel,145,48.7,1.7,8799
12185,bmw, M2,2019,Semi-Auto,19548,Petrol,145,29.1,3,37990
12186,bmw, X4,2020,Automatic,5000,Diesel,145,40.9,3,44495
12187,ford, Edge,2017,Manual,19726,Diesel,160,48.7,2,20479
12188,hyundi, Santa Fe,2019,Automatic,20,Diesel,145,39.8,2.2,32489
12189,merc, CLS Class,2019,Semi-Auto,8697,Petrol,145,31.7,3,68000
12190,skoda, Rapid,2019,Manual,14837,Petrol,145,58.9,1,9498
12191,merc, V Class,2018,Automatic,3067,Diesel,145,44.8,2.2,42134
12192,bmw, X6,2016,Semi-Auto,29211,Diesel,205,47.1,3,20950
12193,ford, Mustang,2016,Automatic,18500,Petrol,570,23.5,5,28490
12194,merc, GL Class,2016,Automatic,36000,Diesel,235,42.8,3,27990
12195,vw, CC,2017,Semi-Auto,17955,Diesel,125,58.9,2,15490
12196,merc, GL Class,2016,Automatic,16489,Diesel,125,56.5,2.1,19699
12197,hyundi, I40,2015,Manual,22000,Diesel,20,67.3,1.7,8495
12198,bmw, X7,2019,Semi-Auto,10,Diesel,145,31.4,3,76970
12199,ford, Grand C-MAX,2017,Manual,31976,Diesel,30,61.4,2,13299
12200,vw, Scirocco,2017,Manual,25150,Diesel,145,64.2,2,17999
12201,bmw, Z4,2019,Automatic,2756,Petrol,145,33.2,3,40000
12202,ford, Edge,2017,Semi-Auto,19552,Diesel,200,47.9,2,22500
12203,ford, Edge,2017,Semi-Auto,36000,Diesel,160,48.7,2,18490
12204,skoda, Yeti,2017,Manual,53033,Diesel,30,62.8,2,9999
12205,vw, Tiguan Allspace,2019,Automatic,4635,Diesel,145,38.7,2,27989
12206,vauxhall, Combo Life,2019,Manual,14500,Diesel,145,53.3,1.5,15999
12207,hyundi, IX20,2017,Manual,10279,Petrol,145,50.4,1.4,9795
12208,skoda, Kamiq,2019,Semi-Auto,2200,Petrol,145,44.1,1.5,22001
12209,skoda, Kamiq,2019,Manual,2300,Petrol,145,47.9,1,17169
12210,vauxhall, Combo Life,2019,Manual,12000,Diesel,145,53.3,1.5,18299
12211,ford, Puma,2020,Manual,3000,Petrol,145,50.4,1,22975
12212,vauxhall, GTC,2017,Manual,34404,Petrol,145,36.2,2,14950
12213,ford, Tourneo Connect,2016,Manual,42960,Diesel,30,61.4,1.5,8998
12214,ford, Grand C-MAX,2017,Manual,38967,Petrol,30,54.3,1,10500
12215,vw, CC,2013,Manual,79303,Diesel,30,60.1,2,7970
12216,ford, KA,2014,Manual,22888,Petrol,30,57.7,1.2,5000
12217,merc, GL Class,2018,Automatic,2880,Diesel,145,56.5,2.1,20999
12218,bmw, M2,2020,Semi-Auto,15,Petrol,150,29.1,3,42999
12219,ford, Edge,2017,Manual,38778,Diesel,160,48.7,2,17295
12220,skoda, Kamiq,2019,Semi-Auto,4750,Petrol,145,45.6,1,19495
12221,skoda, Yeti,2014,Manual,45505,Diesel,145,55.4,2,8250
12222,vw, Shuttle,2018,Semi-Auto,3768,Diesel,145,45.6,2,28900
12223,ford, Galaxy,2017,Automatic,7743,Diesel,145,52.3,2,20627
12224,bmw, M4,2018,Automatic,3033,Petrol,145,33.6,3,51000
12225,bmw, X4,2015,Automatic,31723,Diesel,200,47.9,3,23500
12226,hyundi, I800,2018,Manual,33173,Diesel,145,37.7,2.5,15499
12227,merc, CLS Class,2019,Automatic,6273,Diesel,145,48.7,2.9,35980
12228,toyota, Supra,2019,Semi-Auto,500,Petrol,145,34.5,3,49994
12229,merc, V Class,2019,Automatic,3442,Diesel,150,39.8,2.1,25991
12230,audi, Q8,2019,Semi-Auto,2715,Diesel,145,33.6,3,51950
12231,hyundi, Santa Fe,2014,Manual,50425,Diesel,200,46.3,2.2,11830
12232,merc, CLS Class,2018,Semi-Auto,11461,Diesel,145,57.7,2.1,24775
12233,bmw, X7,2019,Semi-Auto,2881,Diesel,145,33.6,3,66000
12234,skoda, Scala,2019,Manual,4050,Petrol,145,49.6,1,14999
12235,merc, CLS Class,2018,Semi-Auto,8673,Petrol,145,36.2,3,41112
12236,hyundi, Getz,2003,Automatic,51000,Petrol,260,37.2,1.6,1990
12237,merc, SLK,2014,Semi-Auto,34170,Petrol,200,43.5,2,13650
12238,toyota, Prius,2017,Automatic,37564,Hybrid,140,85.6,1.8,18799
12239,vauxhall, Combo Life,2018,Manual,34138,Diesel,145,53.3,1.5,12816
12240,vw, Beetle,2017,Manual,30446,Petrol,145,53.3,1.2,12240
12241,hyundi, I40,2016,Manual,29347,Diesel,30,65.7,1.7,10998
12242,audi, R8,2013,Manual,19834,Petrol,570,19.6,4.2,47995
12243,vw, Jetta,2015,Manual,35242,Diesel,20,70.6,2,7999
12244,ford, Edge,2016,Manual,30000,Diesel,160,48.7,2,17991
12245,merc, V Class,2019,Automatic,9,Diesel,145,36.2,2,45395
12246,hyundi, IX20,2016,Manual,20347,Petrol,125,50.4,1.4,7327
12247,bmw, 6 Series,2019,Automatic,35,Petrol,145,29.1,3,39146
12248,vw, Caravelle,2019,Automatic,2000,Diesel,150,33.6,2,40000
12249,ford, Puma,2019,Manual,1606,Petrol,145,50.4,1,23999
12250,merc, GL Class,2018,Automatic,12471,Petrol,145,50.4,1.6,19999
12251,bmw, 8 Series,2020,Semi-Auto,151,Diesel,145,26.7,3,79991
12252,ford, Edge,2017,Manual,19175,Diesel,150,48.7,2,20495
12253,merc, V Class,2019,Automatic,999,Diesel,145,36.7,2,47999
12254,audi, A7,2019,Semi-Auto,20,Diesel,145,38.2,2,39950
12255,merc, CLS Class,2016,Automatic,32611,Diesel,165,49.6,3,22684
12256,toyota, Verso,2017,Automatic,22512,Petrol,200,42.8,1.8,14291
12257,audi, A7,2019,Semi-Auto,4100,Diesel,145,47.1,2,33990
12258,hyundi, IX35,2015,Manual,46573,Diesel,145,53.3,1.7,8420
12259,bmw, X4,2019,Automatic,3170,Petrol,145,26.9,3,40000
12260,skoda, Scala,2020,Manual,1656,Petrol,145,50.4,1,14995
12261,ford, Grand C-MAX,2017,Manual,8121,Petrol,145,54.3,1,12490
12262,ford, Grand C-MAX,2017,Manual,17242,Diesel,30,64.2,1.5,12444
12263,hyundi, I800,2016,Automatic,51446,Diesel,325,33.6,2.5,14300
12264,skoda, Yeti,2017,Manual,16000,Petrol,125,51.4,1.2,11995
12265,ford, Galaxy,2018,Manual,19033,Diesel,145,56.5,2,17900
12266,vw, Amarok,2018,Automatic,24000,Diesel,260,36.2,3,26990
12267,bmw, Z4,2003,Automatic,70000,Petrol,325,29.7,3,3495
12268,merc, GLB Class,2020,Semi-Auto,349,Diesel,145,46.3,2,39980
12269,hyundi, Santa Fe,2019,Semi-Auto,25,Diesel,145,39.8,2.2,35495
12270,audi, A8,2015,Automatic,25406,Diesel,160,49.6,3,19870
12271,toyota, Prius,2016,Automatic,23300,Hybrid,0,85.6,1.8,18690
12272,ford, Grand Tourneo Connect,2019,Manual,542,Diesel,145,61.4,1.5,18500
12273,merc, GLS Class,2016,Automatic,32505,Diesel,305,37.2,3,34763
12274,ford, Puma,2020,Manual,2477,Petrol,145,50.4,1,19990
12275,merc, SLK,2016,Semi-Auto,36363,Diesel,30,70.6,2,16480
12276,skoda, Kamiq,2019,Automatic,4671,Petrol,150,43.5,1.5,20799
12277,toyota, Avensis,2016,Manual,40889,Diesel,20,67.3,1.6,11495
12278,hyundi, Santa Fe,2019,Semi-Auto,130,Diesel,145,42.8,2.2,31995
12279,ford, Galaxy,2017,Manual,8204,Diesel,145,56.5,2,19223
12280,vw, CC,2013,Manual,62541,Diesel,30,60.1,2,7820
12281,ford, Galaxy,2019,Automatic,600,Diesel,145,43.5,2,23950
12282,merc, GL Class,2015,Automatic,51081,Diesel,325,36.2,3,28975
12283,audi, S3,2017,Semi-Auto,26500,Petrol,150,43.5,2,23950
12284,audi, RS3,2017,Semi-Auto,17552,Petrol,145,34,2.5,38995
12285,toyota, Prius,2011,Manual,112000,Other,0,70.6,1.8,7250
12286,merc, CLA Class,2017,Manual,35580,Petrol,150,48.7,1.6,16600
12287,ford, Mustang,2018,Automatic,3000,Petrol,145,28.8,2.3,29998
12288,merc, CLS Class,2018,Automatic,17663,Diesel,145,48.7,2.9,31026
12289,audi, RS6,2017,Semi-Auto,13051,Petrol,150,29.4,4,56950
12290,skoda, Rapid,2017,Manual,36348,Petrol,30,57.7,1.2,7995
12291,skoda, Kamiq,2020,Manual,1927,Petrol,145,47.9,1,17799
12292,merc, X-CLASS,2019,Automatic,40,Diesel,260,31.4,3,32500
12293,merc, SLK,2008,Automatic,58000,Petrol,330,29.7,3,7495
12294,hyundi, Santa Fe,2018,Semi-Auto,17496,Diesel,145,39.2,2.2,29498
12295,vw, Beetle,2014,Semi-Auto,17162,Diesel,160,50.4,2,14990
12296,vauxhall, GTC,2015,Manual,62700,Diesel,125,60.1,2,6645
12297,vw, Amarok,2018,Automatic,4980,Diesel,260,33.6,3,30999
12298,ford, Galaxy,2019,Semi-Auto,9770,Diesel,145,54.3,2,24479
12299,merc, M Class,2015,Automatic,50408,Diesel,200,39.2,2.1,19940
12300,merc, CLS Class,2018,Semi-Auto,14130,Diesel,150,48.7,2.9,31796
12301,toyota, Prius,2016,Automatic,48297,Hybrid,0,85.6,1.8,17650
12302,audi, A8,2019,Automatic,178,Diesel,145,39.2,3,52850
12303,vw, Arteon,2018,Semi-Auto,4350,Diesel,145,52.3,2,22785
12304,toyota, Verso,2018,Manual,7074,Diesel,145,62.8,1.6,13965
12305,vw, Scirocco,2015,Semi-Auto,46463,Diesel,125,53.3,2,11950
12306,toyota, Prius,2019,Automatic,1626,Hybrid,135,64.2,1.8,22995
12307,ford, Galaxy,2017,Semi-Auto,36708,Diesel,145,52.3,2,19000
12308,vw, Caddy Maxi Life,2019,Semi-Auto,3818,Diesel,145,46.3,2,19999
12309,ford, Galaxy,2013,Manual,67000,Diesel,145,49.6,2,9290
12310,ford, KA,2014,Manual,32385,Petrol,30,57.7,1.2,5997
12311,toyota, Prius,2017,Automatic,27203,Hybrid,0,85.6,1.8,20495
12312,hyundi, IX20,2016,Automatic,31000,Petrol,165,43.5,1.6,9350
12313,bmw, 6 Series,2016,Automatic,17264,Petrol,325,32.1,4.4,26976
12314,ford, Grand C-MAX,2017,Manual,28958,Diesel,30,64.2,1.5,10500
12315,vw, Shuttle,2019,Semi-Auto,12316,Diesel,145,32.8,2,36995
12316,toyota, Prius,2016,Automatic,46994,Hybrid,0,85.6,1.8,16999
12317,vw, CC,2013,Automatic,41394,Diesel,145,53.3,2,10000
12318,vauxhall, Agila,2011,Manual,25669,Petrol,30,55.4,1.2,4655
12319,bmw, 6 Series,2017,Semi-Auto,25975,Diesel,160,51.4,3,23990
12320,merc, S Class,2019,Semi-Auto,5961,Diesel,145,52.3,3,54599
12321,ford, KA,2013,Manual,40000,Petrol,30,57.7,1.2,4500
12322,audi, A7,2016,Semi-Auto,40809,Diesel,125,61.4,3,19698
12323,toyota, Land Cruiser,2006,Automatic,113000,Diesel,555,31.4,3,7240
12324,merc, X-CLASS,2018,Automatic,7820,Diesel,260,31.4,3,38995
12325,vw, Shuttle,2019,Semi-Auto,10074,Diesel,145,32.8,2,28000
12326,ford, KA,2018,Manual,6878,Petrol,145,57.7,1.2,8700
12327,merc, SLK,2014,Automatic,30769,Diesel,145,56.5,2,11699
12328,ford, Tourneo Custom,2016,Manual,44233,Diesel,200,46.3,2,18798
12329,skoda, Scala,2019,Automatic,3572,Petrol,145,45.6,1.5,16295
12330,bmw, X6,2020,Semi-Auto,3200,Diesel,145,34.9,3,52990
12331,ford, Grand Tourneo Connect,2014,Manual,37381,Diesel,125,58.9,1.6,10995
12332,toyota, Land Cruiser,2015,Semi-Auto,27845,Diesel,300,38.2,2.8,31200
12333,ford, Grand Tourneo Connect,2016,Automatic,21576,Diesel,125,56.6,1.5,14000
12334,bmw, X7,2020,Semi-Auto,1501,Diesel,145,33.6,3,64995
12335,bmw, X4,2019,Automatic,5980,Diesel,145,37.2,3,42995
12336,audi, A7,2013,Automatic,76597,Diesel,200,47.9,3,14699
12337,toyota, Verso,2011,Manual,47570,Petrol,200,41.5,1.6,6795
12338,vw, Arteon,2017,Semi-Auto,13764,Petrol,145,47.1,2,20750
12339,bmw, M4,2019,Semi-Auto,12,Petrol,145,32.5,3,48940
12340,skoda, Rapid,2017,Semi-Auto,25274,Diesel,0,74.3,1.4,9445
12341,hyundi, I800,2018,Manual,39101,Diesel,145,37.7,2.5,14790
12342,audi, RS4,2019,Automatic,5151,Petrol,145,29.1,2.9,58990
12343,skoda, Yeti,2014,Automatic,22776,Petrol,160,44.8,1.2,10500
12344,bmw, M4,2019,Semi-Auto,2258,Petrol,145,34,3,48000
12345,audi, Q8,2019,Semi-Auto,10000,Diesel,150,32.8,3,65990
12346,ford, Galaxy,2018,Semi-Auto,31589,Diesel,145,52.3,2,19999
12347,vw, Beetle,2017,Manual,27321,Petrol,145,53.3,1.2,11995
